Date,Global_Factor_filtered_normalized,Facilitating_filtered_normalized,Other_filtered_normalized,Restrictive_filtered_normalized,Remaining_others_filtered_normalized,G20_filtered_normalized,Non_G20_filtered_normalized,GDP_weighted_filtered_normalized
Jan 2010,,,,,,,,
Feb 2010,,,,,,,,
Mar 2010,36.1418553720524,-46.5815614053706,76.3163933540863,-5.00860371419531,155.295331857747,59.4187355083569,37.2185998625444,-21.3575357063278
Apr 2010,26.060762946229,-32.388755982044,61.8517820873894,-14.2958310476923,126.541034022289,47.6377630825964,18.437782601415,-20.9366186310709
May 2010,24.336425087044,4.32785445187492,48.0335997068211,-3.31317505926577,82.5449641437226,52.6281849713797,11.0601819697139,0.483751314762921
Jun 2010,56.2298051184197,76.2977440813867,23.0814512955633,14.631527300588,38.8667229182446,56.3835431598662,3.89784392899653,12.7714537617709
Jul 2010,38.733634070963,90.9509075385002,2.32317843952224,17.8498609669016,14.4401912294212,-18.3354508920658,7.4190156916436,-61.1737706699962
Aug 2010,31.8681346970226,68.2144709243717,2.53894270511971,27.9092138131945,10.0592810828759,-11.4192773931727,-13.7877479851686,-21.2946312899486
Sep 2010,5.49222690191834,-3.0153560136372,22.3915247478253,22.2356070854523,40.3304178398875,-1.09162635949526,-24.9119117012349,-9.96193170236347
Oct 2010,-6.65600432487931,-47.3156152709718,30.350334456914,22.0858396201407,40.9858503186722,31.2379939986046,-26.0397349886607,9.93567219727023
Nov 2010,-32.9525048015623,-55.5647336131208,-1.15323947749185,-5.81090578054637,13.8030501307652,-22.451569487583,6.31748833761157,-58.8079329255971
Dec 2010,-17.3705766962172,-19.7762159994075,-6.98677562778431,-0.374189212689282,-23.8135900644727,-25.9053401307453,35.9644141150545,-43.270562568237
Jan 2011,-3.02204464799665,29.4840401479689,-28.4293921497774,-13.7615681633087,-56.2352619208936,-25.3534212455296,32.1048236519881,-20.1346374685324
Feb 2011,17.4755827054437,42.8701948904812,0.728709287131366,15.8897043150859,-66.2581058632663,17.5583277513467,9.86032835323918,39.4461184601036
Mar 2011,13.2987069030619,35.0387734183348,8.67112498837261,36.9828003010511,-80.3511724136311,20.4176918120347,5.36934482699272,72.514606267569
Apr 2011,-2.62747047534287,19.5397818757395,-1.82668245488203,11.7465440392106,-77.1991081243502,8.26642031404666,-2.28536238471225,75.6613304549828
May 2011,-22.8027962807041,1.61840805316369,-15.3645119361559,-22.6524784482353,-56.9046265210418,-22.1403050377973,-1.38724644026074,28.1534667706337
Jun 2011,-33.1783462643393,-1.49695989389838,-32.4364726064487,-36.7933314467883,-44.4666490256215,-37.8183386964256,-7.82271588423606,-8.66844451565436
Jul 2011,-30.7170068251073,8.07407202889435,-29.7112841021484,14.3209440677214,-52.6861751240182,20.3193352059522,-32.22820744075,15.013221974723
Aug 2011,-2.5964210360984,50.7110860881363,-41.742814832693,38.0167255085093,-55.476459430184,0.208921248404733,-16.2519811592875,-14.8623049551926
Sep 2011,14.4227765607535,59.2229710775437,-28.4006451772057,48.7684140797673,-44.5547416506034,10.7157096409162,-18.5281714506521,4.31571548895737
Oct 2011,18.8993733221927,32.0485383116435,-15.8964041911066,25.7887088590555,-19.9708670338662,-22.2828889842475,-7.5923289868507,4.12673212760129
Nov 2011,-15.8047649647076,-39.742794185656,-4.86115214933811,-7.81983330580496,-17.0074322192344,-24.4804182278139,-21.3284258913834,46.196043121123
Dec 2011,-75.0364478956495,-99.6893952649517,-62.6366009744088,-80.4422243931856,-41.30631946155,-82.120374934508,-31.1874036974651,-6.34330102571462
Jan 2012,-150.873247394891,-168.494015450635,-123.177332202215,-135.016357515503,-68.2210488943499,-174.505531786559,-48.1513313231666,-112.230268003508
Feb 2012,-173.252614542428,-215.04206873098,-141.588964047672,-156.125658204271,-51.2017140903534,-148.10831934646,-83.8004166080134,-106.72651851952
Mar 2012,-153.762661023173,-234.645519787022,-103.412362084037,-117.292017586796,-42.7723814196752,-88.8509097075159,-134.628638909099,-27.2851384297084
Apr 2012,-122.551161664966,-235.74436843943,-65.1310400746454,-75.546819157753,-32.0038471852172,-23.8584049597518,-156.733323467744,63.2932689780146
May 2012,-120.364754277169,-230.228904358029,-57.9009638050108,-46.6112523195546,-45.3170614144883,-18.3325006985186,-169.605923700439,41.2006566380102
Jun 2012,-111.660261939501,-235.284503310772,-32.8100312439934,-51.3844205383388,1.4736588264854,-22.4681859076524,-128.856596726411,-0.48109568596445
Jul 2012,-111.09182079297,-200.166093340591,-60.4954867980529,-129.379082349651,33.9886194813422,-14.5002754418596,-94.3209769747006,-36.586010460218
Aug 2012,-139.145860859363,-169.362289687288,-105.880394721236,-223.027445772243,58.2990928417071,-51.7839933139077,-67.4231019042335,-80.5791536720198
Sep 2012,-158.590773811501,-120.143145509787,-154.62893981599,-272.931058873009,56.364865225743,-114.720303886177,-51.5640104527744,-120.409592637924
Oct 2012,-122.244523414404,-77.099261971666,-117.339455292035,-214.570680944359,77.2927000695804,-102.046717047041,-40.6445251134309,-81.2825600241955
Nov 2012,-39.2085150120183,-17.6454947120435,-45.3183639059016,-114.239549770914,109.393961667889,-34.6468041177646,-15.0366894035573,5.88508728026303
Dec 2012,34.2723534921786,22.9595437672836,36.4444109128773,-31.2017398229931,155.932372211537,76.4091776233064,8.93356863183354,84.3840006633113
Jan 2013,64.0697446517721,37.8815639744996,83.5817793984422,15.1265194252015,190.823477379727,98.2809902016595,37.4434196847953,100.734242800013
Feb 2013,72.4051543696767,48.5536193380191,96.5302707190567,46.7047603645128,202.039979778796,105.907922397382,60.8526116486258,109.572303581436
Mar 2013,63.439004588928,52.0714243415784,90.0508179427844,52.4452112315115,211.035611651583,72.0448435670587,84.1467674236535,88.0644137566345
Apr 2013,76.9241335440493,71.7571830756469,92.8269243651545,66.7545981360835,192.282634196261,72.0610436559906,99.6468307620755,76.4397911641519
May 2013,109.481671165031,91.2346807695242,125.058119482933,94.1400134791704,199.766459394219,94.5681391027449,126.15257068208,73.8244802938634
Jun 2013,110.350648850952,119.847252891004,96.5599106339192,77.2354257603155,182.054782550195,110.72046468237,126.114175430293,94.1816660017377
Jul 2013,92.679359793628,118.773737355729,69.7317328457699,47.1664269609443,189.671118884836,117.236167978246,112.843454229319,102.926126716055
Aug 2013,62.836788852617,105.747771970252,30.6719741102264,18.2958455467719,180.048443755366,99.7911137673928,87.922620147245,97.1958969686596
Sep 2013,44.0228603611222,69.8132022482691,27.4151582609169,16.0990404654254,170.270150576272,74.7587170920137,65.6856380701212,67.3695668809817
Oct 2013,29.3656428899328,44.3640491575759,17.9126088760027,20.7370092409106,153.566704260789,20.0480202752336,62.7302247509528,25.5848494377285
Nov 2013,22.3388864567177,14.261226518387,31.5808262548632,32.9900171791821,147.929368113858,7.67609690778869,66.6966781237186,23.4709143665678
Dec 2013,23.7073843315517,7.39339832977301,37.7455160469976,58.198679508663,138.417870132769,13.0709655567995,70.8367094111279,45.5646244553928
Jan 2014,51.6266868758684,7.40989673272558,76.1785883309891,81.8325580106536,174.566850480178,84.835220574362,66.0767813114335,138.929506555481
Feb 2014,50.9465877741073,6.15245131846639,73.669757349072,51.343042330893,204.214807588125,104.218653438865,41.6433730921331,175.28598781571
Mar 2014,31.928666433038,0.912800156621323,55.0640295501981,-3.00018157746426,224.23947720392,107.259495985843,6.1723363142541,186.532132969225
Apr 2014,15.2887769859396,22.5484877486052,-0.0189014041429565,-44.3255941362214,198.48747299462,70.8563563703093,-3.24750542253208,125.978539282351
May 2014,-26.3226105605004,14.4727945351854,-41.0556773928408,-66.9798085512917,169.193534427007,31.4446062616084,-37.0136989024747,93.7352725826204
